Таблица сравнения ТЗ и ПЗ
(развернутая, с построчной проверкой позиций)
Легенда:
Раздел 1 – формальные критерии (техническая валидация XML, криптография, контрольные суммы)
Раздел 2 – организационные критерии (проверка субъектов, идентификационных данных)
Раздел 3 – специальные критерии (основная содержательная часть)
Раздел 4 – документы разделов 49, 50 и иные (проверяются только при наличии соответствующих требований в ТЗ, в завершающей стадии)

=== Таблица 1 ===
№ п/п | Источник в ТЗ (XML П12.1) | Сведения в ПЗ (XML П9.4)
1 | Формальные критерии | 
1.1 | Общий файл ТЗ: структура документа | Соответствие XML-схеме explanatorynote-01-06.xsd или актуальной версии; валидация на наличие обязательных элементов (особо опасный/технически сложный объект, уникальный объект с значениями 0/1)
1.2 | Общий файл ТЗ: кодировка и формат | Кодировка UTF-8; файл в формате XML без BOM; отсутствие недопустимых символов
1.3 | Общий файл ТЗ: электронная цифровая подпись (ЭЦП) | Проверка криптографической подписи на соответствие требованиям ФЗ №63-ФЗ; верификация сертификата через УЦ
1.4 | Разделы с файлами (в т.ч. раздел 50) | Контрольные суммы файлов (MD5 или SHA-256); сравнение хэшей прикреплённых документов с указанными в XML
1.5 | Общий файл ТЗ: версия XML-схемы | Указание версии схемы в заголовке (например, version="1.06"); проверка на актуальность
1.6 | Разделы с реквизитами (ИНН, ОГРН, КПП) | Типизация данных: ИНН – 10/12 цифр, ОГРН – 13 цифр, КПП – 9 цифр; числовые поля – integer
1.7 | Общий файл ТЗ: вложенные файлы и метаданные | Проверка наличия имени файла, расширения, размера; отсутствие вредоносного кода
1.8 | Разделы с датами (например, раздел 6.1) | Формат дат YYYY-MM-DD или YYYY-MM-DD_HH:MM:SS; проверка на логическую последовательность (начало < окончание)
1.9 | Общий файл ТЗ: обязательные атрибуты | Наличие титульных элементов (гриф доступа, штамп изменений); проверка на пустые обязательные поля
1.10 | Общий файл ТЗ: криптографическая защита | Верификация цепочки подписей; проверка на отсутствие изменений после подписи с использованием XML Signature Syntax
2 | Организационные критерии | 
